EntrezID	Gene_Symbol	all_GeneEffect_avg	all_GeneEffect_median	all_GeneDependency_avg	all_GeneDependency_median
1	A1BG	-0.02021285547133	-0.0217482649587385	0.0345330178500966	0.0252991688477508
29974	A1CF	-0.0428312083231697	-0.0383290004380641	0.0466622738649145	0.02990065156094
2	A2M	0.0911420390910397	0.0925046805572691	0.012951352781678	0.0076223973877528
144568	A2ML1	0.126456937212293	0.131579363004453	0.00921610193470951	0.0046161810415186
127550	A3GALT2	-0.136245851097582	-0.13889983585832	0.0941442264757689	0.0712688283660619
53947	A4GALT	-0.0620743479177215	-0.0691006501591238	0.0536786566418562	0.0399997397204836
51146	A4GNT	0.0788574571528803	0.076048679038736	0.0125673061968236	0.0093496243266232
8086	AAAS	-0.196711654561556	-0.181794875385912	0.151138798200789	0.101875845505742
65985	AACS	0.0574057630429631	0.0593413496064272	0.0191032924991945	0.0095669878144208
13	AADAC	0.124815180841887	0.12351294553264	0.0102450142974692	0.0053330440522339
344752	AADACL2	0.029772048112046	0.020530703629078	0.021091201954416	0.0153132890804076
126767	AADACL3	0.0809802847671379	0.0844244325271882	0.0119152551116665	0.0092645034881386
343066	AADACL4	0.0464213582518268	0.0565863620962119	0.0173940365447806	0.0107771736952843
51166	AADAT	-0.0652927422475049	-0.0416529505846629	0.0570470591965702	0.0282220176800543
79719	AAGAB	-0.0262786999501018	-0.016737056384971	0.0532607608903539	0.0216013958087878
22848	AAK1	-0.114500978709789	-0.119360232030507	0.0749467681094521	0.0566432324963654
28971	AAMDC	-0.0400857079396806	-0.0336146745067137	0.0426402537523835	0.0277121454006512
14	AAMP	-1.20424442663321	-1.19664847578499	0.967893646055815	0.980472870344167
15	AANAT	-0.103616175415361	-0.11555207716579	0.0730309894250681	0.0547696084996016
25980	AAR2	-0.0567783890164019	-0.0314178223394424	0.0552066412884964	0.0268744208849051
441376	AARD	-0.18351203239233	-0.171276285067362	0.126739883812881	0.100431269093021
16	AARS1	-2.15201929746483	-2.08003639279583	0.999436499378491	1
57505	AARS2	-0.589028545828993	-0.575128677013261	0.634816149775938	0.714627224884121
80755	AARSD1	-0.212433771914877	-0.211185813113388	0.146332089364522	0.131739020449693
132949	AASDH	-0.0785456377951603	-0.0789335414313485	0.0557516702517533	0.0417727546860395
60496	AASDHPPT	-0.295403640666497	-0.294527370715849	0.296024624863901	0.204585018493634
10157	AASS	0.0176734445736197	0.0047012505613097	0.0225313543227082	0.0163186383646041
26574	AATF	-0.859404227424557	-0.868718214371538	0.87878135987591	0.93807049717029
9625	AATK	-0.143815723467333	-0.139653353356616	0.106029390337648	0.0841149545179474
18	ABAT	0.0311091612207882	0.0158417275246856	0.0209068006667009	0.0155098188131721
19	ABCA1	-0.0221515387611699	-0.0301907015464405	0.031428566744437	0.0251933274545873
10349	ABCA10	-0.0592716752594183	-0.050291452263847	0.0506617512236497	0.0330392053006064
26154	ABCA12	0.0429559839224943	0.044887021434417	0.017640533006846	0.0110361527703
154664	ABCA13	0.03902547732987	0.0318315614230773	0.0202441528877713	0.0123353259212688
20	ABCA2	-0.00470437919063114	-0.0047095732071926	0.0307952972385105	0.0189530069415259
21	ABCA3	0.0106801904166672	0.0226920490897091	0.0243351850582762	0.0159706309601744
24	ABCA4	-0.225316673899569	-0.221535721382095	0.163511210023866	0.141740312984194
23461	ABCA5	-0.0197835891568244	-0.0198610185770441	0.0345114523898544	0.0244571748164199
23460	ABCA6	-0.0197298626875621	0.005324619028429	0.0452238430672928	0.0182917982414309
10347	ABCA7	0.0789968948379267	0.0616033240766428	0.0157946758219356	0.0096843184758357
10351	ABCA8	-0.0442246922027355	-0.0434886638645918	0.0443144517617695	0.0281113676727907
10350	ABCA9	0.0638530223539738	0.0621571929137529	0.0125649994617951	0.0091781855478616
5243	ABCB1	-0.14355478848603	-0.120185078092582	0.100473403729065	0.0795060866336872
23456	ABCB10	-0.0531369486353804	-0.0518359000343071	0.0629960608160414	0.0309331539911321
8647	ABCB11	-0.0734406366325286	-0.0719014276437829	0.0534970378556863	0.0412777006187578
5244	ABCB4	-0.0402833440827564	-0.0357286532441649	0.0471824117275479	0.0257616152596883
340273	ABCB5	-0.0219334732153222	-0.0072371146113972	0.0348887034530617	0.0219830473712242
10058	ABCB6	0.0525431317968096	0.0353443796957347	0.016536115096465	0.0124236157459219
22	ABCB7	-1.10728737327814	-1.08946218232718	0.933547585955963	0.965431412709715
11194	ABCB8	0.0760267114954959	0.0496044555396949	0.0154601044422235	0.0101395236473556
23457	ABCB9	0.00166972435824128	0.0089267718373029	0.0385920777529096	0.01658863699146
4363	ABCC1	0.00845622495343187	0.0141851465016464	0.0257314025256273	0.0176321506226285
89845	ABCC10	-0.109070497979961	-0.1099362971438	0.0784243636379306	0.0602980406560018
85320	ABCC11	-0.00428559457792429	0.0046690570606501	0.0316200178238398	0.0217828120787636
94160	ABCC12	0.0316028860643805	0.0317712463497675	0.0205835112571879	0.0133656547495774
1244	ABCC2	-0.026520735172781	-0.0223903683245164	0.0315424895342695	0.0240246523546852
8714	ABCC3	-0.036145437708994	-0.0191381593077217	0.0379410834017126	0.0253572097463397
10257	ABCC4	0.176275365459812	0.162830556331361	0.00516312076793536	0.0033368281031519
10057	ABCC5	0.0157876258818819	0.0108493212424499	0.0254626022040741	0.0184237826124243
368	ABCC6	0.00512817925929029	0.0208261648253608	0.0270235822881517	0.0155766324493549
6833	ABCC8	0.0801723244453008	0.0827634102648262	0.0122783777660004	0.0077861382600112
10060	ABCC9	-0.012311563250955	-0.0143841879889884	0.031946759583932	0.0210395400854471
215	ABCD1	-0.152400529851846	-0.110384096469429	0.124797099199004	0.0624603624885269
225	ABCD2	-0.0694713623101819	-0.0673992893315515	0.0540740630745035	0.0383193229413689
5825	ABCD3	-0.144285505854269	-0.129925580551999	0.105220017081695	0.0741089440441932
5826	ABCD4	-0.0599918902887628	-0.0589037998940819	0.0484238928418442	0.0382054458307288
6059	ABCE1	-2.2220042201322	-2.19552297045694	0.999713126249422	1
23	ABCF1	-1.13493941152701	-1.10817380488871	0.963975824176157	0.97255774132564
55324	ABCF3	0.0709463690422822	0.0697926570402177	0.0174466826824358	0.0084161820408505
9619	ABCG1	0.00272062778381413	0.0040414960101651	0.0264083335384067	0.0189311938592738
9429	ABCG2	0.0617183064023437	0.0643391441539	0.0166594156350865	0.0102382140049836
64137	ABCG4	0.0962030874946215	0.0858272632631771	0.0105085604826806	0.0082330237676001
64240	ABCG5	0.076924604968027	0.0599393488996091	0.0128098330031048	0.0102405100107734
64241	ABCG8	0.0160440014912602	0.0050829849803324	0.0216643955149332	0.0168427995824798
84696	ABHD1	0.0430592084657703	0.047086303645008	0.0170565315213548	0.013748349786412
55347	ABHD10	0.0169313521409391	0.0111841648852386	0.0263974846046773	0.0171336119427998
83451	ABHD11	-0.288582386360569	-0.269474408081791	0.273688201950795	0.193406351574151
26090	ABHD12	0.0675467747672525	0.0815512896370117	0.0150432459799688	0.0088578153774849
145447	ABHD12B	0.0839676871617381	0.0944000129696811	0.0158349944046808	0.0083387649359442
84945	ABHD13	-0.0844524191343079	-0.0640009228664758	0.0692884301089913	0.0381233180803853
25864	ABHD14A	0.0729179459924981	0.0623879083354096	0.0144413271976731	0.0089000007853798
84836	ABHD14B	0.0419532775453237	0.0430279631601184	0.0179875248978211	0.0118085013193774
116236	ABHD15	-0.273803936958672	-0.250614541320604	0.233374546443493	0.168069791272332
7920	ABHD16A	-0.066651967799508	-0.0563557373394824	0.0522073926814971	0.0348743139862701
140701	ABHD16B	0.0167366120614115	0.021959692736584	0.0251406915670971	0.014573950655732
81926	ABHD17A	-0.291328053588505	-0.289636777656105	0.261712427318257	0.224015964671917
51104	ABHD17B	0.0109498416466491	0.0257461685537271	0.0276434565485548	0.0146505367719433
58489	ABHD17C	0.118765497706879	0.113646389986999	0.0121335794751163	0.0056770638050786
80167	ABHD18	0.0912041773841246	0.0951218919130795	0.0134281016637548	0.0074221298898175
11057	ABHD2	-0.032555865451902	-0.0065343772282707	0.05606585843974	0.0203219719106676
171586	ABHD3	-0.110860986639834	-0.111770144115064	0.076720144829248	0.0578617736958367
63874	ABHD4	0.0644267633305238	0.0509802479004456	0.0131183139894668	0.0109911121964564
51099	ABHD5	0.0163254929765311	-0.011690934070317	0.0240163038660443	0.0218757743146708
57406	ABHD6	0.0685456015199595	0.066004903892905	0.0123787422582967	0.0089366986401748
79575	ABHD8	-0.0387662675519837	-0.0444156141255329	0.0404801129014482	0.0305790083821298
10006	ABI1	-0.0870543748311271	-0.0713327551536037	0.0853601692554397	0.0377759921806905
10152	ABI2	0.0821729165626407	0.0669749350362595	0.0106368055900297	0.0100433523628411
51225	ABI3	0.0254380492014167	0.0127590633480052	0.024602356363103	0.0148055915043224
25890	ABI3BP	0.00777448649429671	0.0107664175376569	0.0264339740871166	0.0176088735152262
54942	ABITRAM	-0.00634073735924086	0.0011529242394649	0.0309741576501066	0.0192491043808296
25	ABL1	-0.0245735644305022	-0.0155320583411263	0.040725213416997	0.0226547078120493
27	ABL2	0.104199514616999	0.100468968134531	0.0104212831317388	0.007803598449713
3983	ABLIM1	0.0788966609127365	0.0775614586371468	0.0205851098057377	0.0095011195294641
84448	ABLIM2	0.00432411242230493	0.0188677015510534	0.0270120376061952	0.0182424686743899
22885	ABLIM3	0.0402705022225684	0.0328928045923252	0.0177603616339336	0.0149129954577045
29	ABR	-0.0211409866325688	-0.014734014899284	0.0353550267204456	0.0217982127872109
137735	ABRA	0.0381100166646979	0.0402009736596837	0.0294311349781514	0.0122541553808148
58527	ABRACL	0.103634347593307	0.0973365511123978	0.0084731319039713	0.0075325663476603
84142	ABRAXAS1	-0.276793058318534	-0.285202739044704	0.260248954143883	0.221861901302405
23172	ABRAXAS2	0.0833679600691799	0.0531874728260377	0.0148946853702992	0.0089551588721971
29777	ABT1	-1.08209261647797	-1.11128735733499	0.928597624476366	0.971737547632494
80325	ABTB1	0.0377196250831901	0.0236090511689507	0.0214662282654411	0.0133290250072965
25841	ABTB2	0.0333927063094967	0.0241098975325106	0.0213371690371681	0.0146347124278746
121551	ABTB3	0.0664887296770528	0.0796049194622941	0.0176436957612409	0.0081001775420099
30	ACAA1	0.0961139701530294	0.085657259505858	0.0166279427640347	0.0068140384342898
10449	ACAA2	-0.0323974158977562	-0.0177065158637864	0.0358689112327222	0.0235592472924537
31	ACACA	-0.369801265695768	-0.336972852853453	0.389650939184835	0.310199133105605
32	ACACB	-0.0667076462017011	-0.0678616344487701	0.0450552962121439	0.0348435089959969
80724	ACAD10	-0.106093189426995	-0.104608073927772	0.070116499927916	0.0505963263156035
84129	ACAD11	0.0372153919455475	0.0328803455251781	0.0178800980033955	0.0132287780805815
27034	ACAD8	0.0436502750765481	0.0421113316781803	0.0213618459613436	0.0120480834135636
28976	ACAD9	-0.306770286800695	-0.3009587075752	0.288714516981056	0.263811245272848
33	ACADL	0.0291137830843802	0.0425236412356675	0.0222473671222687	0.0121248484326701
34	ACADM	0.0699370684568821	0.0678082031349156	0.012935601372578	0.0098637032208577
35	ACADS	-0.000407358649154486	-0.0120198240994543	0.0292318232838953	0.0217395985898579
36	ACADSB	-0.0636967503955317	-0.0486449531246918	0.0520468275024837	0.0304914487165289
37	ACADVL	0.00512897551560457	0.0076955596841013	0.0276286015594172	0.0162089749104824
176	ACAN	-0.0605310578210834	-0.0496361932490836	0.0581671911246387	0.0303415885714621
9744	ACAP1	-0.000805625658434292	-0.0029914710399497	0.0264470550834774	0.0178642915110189
23527	ACAP2	-0.0753183615480696	-0.0725674462735922	0.0732869951686264	0.0365525051191353
116983	ACAP3	-0.146406436398318	-0.157055638329429	0.106881766007923	0.0881128962698591
38	ACAT1	0.0902871296289141	0.0795792049288996	0.0119855201566237	0.0083169143050973
39	ACAT2	0.126153439778045	0.134235569936455	0.0161180122149221	0.0051789881420995
64746	ACBD3	0.0485892929517557	0.0504234580930597	0.0220683123624326	0.0102230535239886
79777	ACBD4	-0.068671333479742	-0.0823503713272332	0.0563785219458845	0.0412169047899711
91452	ACBD5	0.0649637592556146	0.0568367576019072	0.0182519652432899	0.0099638263462441
84320	ACBD6	0.101693066176568	0.09786242900483	0.00921356649162423	0.0066045475722778
414149	ACBD7	0.0953955897549729	0.0960427670762239	0.0114496966918848	0.0068317511365157
84680	ACCS	0.0291667201723348	0.0411289210495355	0.0213429501569454	0.0118718692188894
390110	ACCSL	-0.0669886494025753	-0.0615589055504736	0.0519572198580634	0.0347308366808201
65057	ACD	-0.231558688787557	-0.192851598127619	0.192730826466891	0.126040044130444
1636	ACE	-0.0977829866398435	-0.115363909730788	0.0682384763538479	0.0633206134273866
59272	ACE2	0.208398769928602	0.206660780910268	0.0032518685504346	0.0019670236589457
125981	ACER1	-0.127402882748942	-0.122215495924006	0.0813622193459074	0.057594855871734
340485	ACER2	0.0761173163240448	0.079708855906992	0.0147608632056259	0.0078540906206071
55331	ACER3	0.0841471316045679	0.0740028232292306	0.0138539826629525	0.0085890364690043
43	ACHE	-0.162947718015454	-0.166781144651517	0.140821953398517	0.0936792389390436
22985	ACIN1	-0.75233062839645	-0.721707205764683	0.775610222168373	0.862374683107051
2532	ACKR1	0.0180913621213372	0.0253772097821982	0.01959932261687	0.0147935399236081
1238	ACKR2	0.0740070030981148	0.0597536128638785	0.013719159032914	0.0105785941825948
57007	ACKR3	0.0389819026216958	0.0357182655973625	0.01820256785824	0.013942925823829
51554	ACKR4	-0.138051401047984	-0.134823916066588	0.0918723776314646	0.0705331368079242
47	ACLY	-0.663520923429132	-0.645117547719363	0.676106936491329	0.834062185694207
130013	ACMSD	0.057015267605217	0.0566956798568596	0.0152500738305346	0.0116931281311148
48	ACO1	0.00961827741320763	0.00840268960096	0.0252411672505883	0.0176398995642613
50	ACO2	-0.960349966714142	-0.920936816071117	0.775866174800462	0.954953438277122
730249	ACOD1	0.115179231270509	0.105874268240947	0.00940555908489215	0.0066412996242054
641371	ACOT1	0.317728036305897	0.280458841376689	0.00420013083129066	0.0009191942052993
26027	ACOT11	0.00941187313806543	0.0126162144200864	0.0238997978640463	0.0183906010113156
134526	ACOT12	-0.206100565758839	-0.165260433824025	0.155836557845209	0.0983393345612495
55856	ACOT13	0.0188065634332715	0.0136866317921534	0.0247656127862305	0.0150855593309419
10965	ACOT2	0.0485474641062284	0.0436514613186148	0.0205669607883761	0.0122725215055007
122970	ACOT4	-0.0639842973444434	-0.0479508960825177	0.0509581437759493	0.034912889766513
641372	ACOT6	-0.0400170871946246	-0.0270134586326248	0.0354685058260807	0.0283018154018819
11332	ACOT7	0.0656661160470491	0.0652493017197895	0.017796723063867	0.0094168079032282
10005	ACOT8	0.0698345862563275	0.0779543822872612	0.0169965953936405	0.0082409947503127
23597	ACOT9	0.0383139556012627	0.0505869348713147	0.0173760020864557	0.0115891763604696
51	ACOX1	-0.186966287121103	-0.156346100623786	0.168334896678649	0.091727549667921
8309	ACOX2	-0.104976222076571	-0.0918913743008598	0.0721554039662536	0.050380353357172
8310	ACOX3	0.104142149563498	0.104621302346603	0.00862092098337761	0.0070838188836717
55289	ACOXL	-0.178742290257982	-0.186033085472102	0.114374900085434	0.101607280119432
52	ACP1	0.170848615988633	0.171370862811697	0.00572086780165781	0.0033714267279096
53	ACP2	0.0224454129920025	0.014368856423639	0.0222283219216149	0.0153323160402607
55	ACP3	0.0921086646526366	0.1054649743554	0.0162573711910808	0.0065304490914072
93650	ACP4	0.0139019542912039	0.0253824721517991	0.0287542823677632	0.0142497267675204
54	ACP5	0.00425175780604155	0.013075690353409	0.0227560300361505	0.0175803452397707
51205	ACP6	0.0257969967536677	0.0260435271780177	0.021247228746207	0.0159910306072868
390928	ACP7	-0.172512805996611	-0.182456923170883	0.110899812365498	0.0912247665291374
49	ACR	-0.16129580989534	-0.178248053894897	0.125786927191194	0.101598241995008
84519	ACRBP	-0.0165210521870351	-0.0094227339855828	0.0304960704919363	0.0209478636858858
56	ACRV1	0.197868026048963	0.188852345513655	0.0038385707341128	0.0027504494835524
23205	ACSBG1	0.0573972661423608	0.0520978245651343	0.014827003195647	0.0111084452958968
81616	ACSBG2	0.0551789389088002	0.0455464248141223	0.0150513077801487	0.0116065282144121
80221	ACSF2	-0.117655851491841	-0.126275654439906	0.0844409134768835	0.067250431876272
197322	ACSF3	0.161748690922375	0.161967392011957	0.00619143285711417	0.0035911759000783
2180	ACSL1	0.059500508317731	0.0703194048443459	0.0247563028906383	0.0085136470458781
2181	ACSL3	-0.25456155307498	-0.210094539998095	0.232081151586978	0.122542932654362
2182	ACSL4	-0.116571793882548	-0.107313590700683	0.1009569007693	0.0508127802791998
51703	ACSL5	0.0220005557346236	0.0357765291202268	0.0341150156219591	0.0129036056046007
23305	ACSL6	-0.0214497903177109	-0.021295605546444	0.0285124334270297	0.0237232131213527
116285	ACSM1	0.00936851481254165	0.0085816727903029	0.0269674928215995	0.0157097304125555
